token	duration	length	syllaType	position	speaker	sanoiDur	vcdDur
s9.11	242	long vowel	CV	final	Speaker #2	394	192
s9.12	148	long vowel	CV	nonfinal	Speaker #2	301	148
s9.13	250	long vowel	CV	final	Speaker #2	347	207
s9.14	132	short vowel	V	final	Speaker #2	356	65
s9.15	215	long vowel	CVN	final	Speaker #2	336	215
s9.16	65	short vowel	CV	nonfinal	Speaker #2	413	65
s9.17	181	long vowel	GV	nonfinal	Speaker #2	353	181
s9.18	244	long vowel	CV	final	Speaker #2	402	177
s9.19	62	short vowel	CVN	nonfinal	Speaker #2	407	62
s9.20	70	short vowel	GV	nonfinal	Speaker #2	319	70
s10.1	78	short vowel	GV	nonfinal	Speaker #2	372	78
s10.2	131	long vowel	CVN	nonfinal	Speaker #2	359	131
s10.3	240	long vowel	CV	final	Speaker #2	378	170
s10.4	305	long vowel	V	final	Speaker #2	307	228
s10.5	167	long vowel	GV	nonfinal	Speaker #2	341	167
s10.6	165	long vowel	CV	nonfinal	Speaker #2	380	165
s10.7	314	long vowel	V	final	Speaker #2	376	264
s10.8	334	long vowel	V	final	Speaker #2	343	239
s10.9	67	short vowel	CV	nonfinal	Speaker #2	352	67
s10.10	197	long vowel	CVN	final	Speaker #2	329	197
s10.11	163	short vowel	GV	final	Speaker #2	319	100
b1.1	200	short vowel	CV	final	Speaker #3	375	81
b1.2	240	short vowel	GV	final	Speaker #3	311	108
b1.3	213	long vowel	GV	nonfinal	Speaker #3	313	213
b1.4	183	long vowel	CV	nonfinal	Speaker #3	354	183
b1.5	97	short vowel	V	nonfinal	Speaker #3	313	97
b1.6	199	short vowel	GV	final	Speaker #3	376	102
b1.7	205	short vowel	V	final	Speaker #3	323	120
b1.8	231	short vowel	V	final	Speaker #3	386	134
b1.9	205	long vowel	CVN	nonfinal	Speaker #3	370	205
b1.10	190	long vowel	CV	nonfinal	Speaker #3	396	190
b1.11	409	long vowel	V	final	Speaker #3	377	258
b1.12	110	short vowel	V	nonfinal	Speaker #3	378	110
b1.13	378	long vowel	CV	final	Speaker #3	432	270
b1.14	114	short vowel	GV	nonfinal	Speaker #3	385	114
b1.15	229	long vowel	CV	nonfinal	Speaker #3	352	229
b1.16	201	long vowel	CVN	nonfinal	Speaker #3	380	201
b1.17	260	long vowel	CVN	final	Speaker #3	359	260
b1.18	403	long vowel	GV	final	Speaker #3	428	278
b1.19	170	short vowel	GV	final	Speaker #3	367	113
b1.20	115	short vowel	CVN	final	Speaker #3	374	115
b2.1	93	short vowel	CVN	nonfinal	Speaker #3	407	93
b2.2	119	long vowel	V	nonfinal	Speaker #3	343	119
b2.3	76	short vowel	CV	nonfinal	Speaker #3	407	76
b2.4	73	short vowel	CV	nonfinal	Speaker #3	392	73
b2.5	168	long vowel	CVN	final	Speaker #3	398	168
b2.6	269	long vowel	CVN	final	Speaker #3	323	269
b2.7	261	long vowel	V	nonfinal	Speaker #3	377	261
b2.8	96	short vowel	CVN	final	Speaker #3	388	96
b2.9	398	long vowel	GV	final	Speaker #3	365	327
b2.10	185	short vowel	V	final	Speaker #3	331	126
b2.11	461	long vowel	V	final	Speaker #3	352	296
b2.12	97	short vowel	CV	nonfinal	Speaker #3	373	97
b2.13	232	short vowel	CV	final	Speaker #3	374	97
